seq. key_resp.rt,ran. key_resp.rt,,seq,ran
1.0783316,0.4355511,,0.469261661,0.434773729
0.4763564,0.2651422,,,
0.532048,0.2960623,,,
0.2660546,0.3578105,,,
0.570865,0.360397,,,
0.316073,0.6061534,,,
0.53047,0.291435,,,
0.3007291,0.4631732,,,
0.5843252,0.3740013,,,
0.3212069,0.3882124,,,
0.504444,0.5536742,,,
0.3552689,0.369302,,,
0.5525728,0.3706856,,,
0.3512354,0.3251379,,,
0.3265494,0.3449547,,,
0.2348633,0.4620155,,,
0.6756948,0.3584698,,,
0.4222814,0.298278,,,
0.3544014,0.3815476,,,
0.2868082,0.526764,,,
0.272279,0.4799097,,,
0.2694888,0.5012159,,,
0.6247836,0.4406482,,,
0.5358418,0.5375615,,,
0.9162549,0.4133082,,,
0.5222095,0.3711513,,,
1.1218449,0.5293338,,,
0.3375949,0.3420252,,,
0.5811083,0.5308789,,,
0.3292324,0.4324766,,,
0.545749,0.4629041,,,
0.3183278,0.6244361,,,
0.7286606,0.3665166,,,
0.3367057,0.5185889,,,
0.4638537,0.5008247,,,
0.2952765,0.4706776,,,
0.5810906,0.5331379,,,
0.3362684,0.3252762,,,
0.4710844,0.2955959,,,
0.3318272,0.483326,,,
0.4744249,0.4380683,,,
0.3482774,0.3132627,,,
0.4350516,0.4096408,,,
0.3453737,0.4821677,,,
0.565486,0.3961559,,,
0.4559295,0.2897742,,,
0.4529445,0.4262016,,,
0.2952101,0.6751487,,,
0.6582484,0.616775,,,
0.3452627,0.6496282,,,
0.5960745,0.4880761,,,
0.2600554,0.3879545,,,
0.5702607,0.5964715,,,
0.338366,0.7481058,,,
0.481321,0.4675488,,,
0.2481289,0.4301832,,,
0.499001,0.2851455,,,
0.3311605,0.3264216,,,
0.4232112,0.5176719,,,
0.2968106,0.3502586,,,
0.5423896,0.3509782,,,
0.5065668,0.4030989,,,
0.44331,0.6867473,,,
0.329921,0.3342025,,,
0.4470581,0.4696099,,,
0.3287681,0.3253084,,,
0.2612034,0.4292777,,,
0.2945045,0.4528646,,,
0.4459638,0.7779202,,,
0.3170022,0.4144713,,,
0.5785269,0.3252379,,,
0.2874869,0.2979349,,,
0.3464078,0.5468288,,,
0.3457036,0.3121551,,,
0.2594924,0.3196859,,,
0.2550072,0.3695523,,,
0.3326281,0.3324833,,,
0.5155683,0.4447533,,,
0.2618956,0.2709734,,,
0.3593861,0.3458145,,,
0.641883,0.402294,,,
0.4952791,0.3357556,,,
0.3265946,0.3800363,,,
1.0866362,0.5120928,,,
0.5760429,0.4166588,,,
0.5018907,0.3166668,,,
0.3216146,0.3863611,,,
0.5464944,0.4082634,,,
0.3728828,0.2721184,,,
0.3822457,0.3688179,,,
0.3242323,0.4827384,,,
0.3492067,0.3518034,,,
0.3100701,0.5028926,,,
0.4973114,0.3317677,,,
0.3114229,0.2514788,,,
0.2923276,0.3560373,,,
0.5778835,0.2742295,,,
0.2651551,0.3839191,,,
0.3444341,0.3286005,,,
0.3037266,0.300319,,,
0.399985,0.3004493,,,
0.4255868,0.3027187,,,
0.4374542,0.1432303,,,
0.3454363,0.2602638,,,
0.9112387,0.3957785,,,
0.2791763,0.4966431,,,
0.3608361,0.2694058,,,
0.5338502,0.2456326,,,
0.264414,0.2580472,,,
0.3451263,0.364133,,,
0.3218173,0.4777972,,,
0.6585294,0.3569014,,,
0.3650969,0.2663573,,,
0.2924066,0.2596459,,,
0.4302201,0.3312021,,,
0.4614181,0.3864851,,,
0.2750905,0.4417501,,,
0.5950359,0.2858129,,,
0.2471798,0.3173552,,,
0.4880754,0.3863937,,,
0.3012171,0.2523263,,,
0.6871005,0.3856186,,,
0.3153316,0.8002987,,,
0.4951213,0.32531,,,
0.4803142,0.3787741,,,
0.4744764,0.4620127,,,
0.5273355,0.3239856,,,
0.3526699,0.4547194,,,
0.3465572,0.3492669,,,
0.4482842,0.3779493,,,
0.3571137,0.5015155,,,
0.4371289,0.4764344,,,
1.6415422,0.2866967,,,
0.4644136,0.4213745,,,
0.4017158,0.2891472,,,
0.5377314,0.2980165,,,
0.3930847,0.2559792,,,
0.9387242,0.2518755,,,
0.3515439,0.3616295,,,
0.3049194,0.2580428,,,
0.356677,0.4323316,,,
0.4449665,0.3000261,,,
0.308722,0.3314648,,,
0.6168506,0.4034568,,,
0.4855777,0.3804442,,,
0.6682815,0.3509874,,,
0.3785121,0.2733198,,,
0.377848,0.276557,,,
0.2614598,0.4216039,,,
0.6025541,0.5309455,,,
0.3607576,0.3841586,,,
0.44538,0.3016501,,,
0.3872743,0.5081266,,,
0.561386,0.4018992,,,
0.3714062,0.6545583,,,
0.4119801,0.3052299,,,
0.3831733,0.3474752,,,
0.388682,0.3964899,,,
0.3764945,0.3566479,,,
0.2856204,0.4451186,,,
0.2778675,0.4339665,,,
0.2226041,0.3111564,,,
0.9052313,0.3882377,,,
0.3416171,0.327663,,,
0.7256186,0.3906082,,,
0.3432673,0.4375552,,,
0.2689356,0.3807585,,,
0.44317,0.4095986,,,
0.3923386,0.6312745,,,
0.5067609,0.432671,,,
0.3042236,0.39432,,,
0.3349402,0.3747789,,,
0.4334644,0.3101149,,,
0.3840648,0.4163375,,,
0.3329956,0.3467658,,,
0.2109028,,,,
0.4379867,,,,
0.2655376,,,,
0.3193196,,,,
0.2653799,,,,
0.2847721,,,,
0.3062282,,,,
0.5177273,,,,
0.2796282,,,,
0.6425708,,,,
0.3874546,,,,
0.5365926,,,,
0.2952679,,,,
0.4637908,,,,
0.3713863,,,,
0.0960682,,,,
0.3348103,,,,
0.5318256,,,,
0.2680984,,,,
0.3013657,,,,
0.498784,,,,
